Ticker Symbol,Sector,Date,Price,Open,High,Low,Volume,Change
AP,Industrial,12/18/2012,36,36,36.35,35.8,3.56M,-1.2%
AP,Industrial,12/19/2012,36.7,36.05,36.95,36.05,2.01M,1.9%
AP,Industrial,12/20/2012,37,36.65,37.05,36.65,1.87M,0.8%
AP,Industrial,12/21/2012,36.9,37,37.05,36.9,2.70M,-0.3%
AP,Industrial,12/26/2012,37,36.9,37.15,36.9,3.61M,0.3%
AP,Industrial,12/27/2012,36.85,37,37.8,36.85,1.60M,-0.4%
AP,Industrial,12/28/2012,36.95,37.05,37.05,36.75,3.94M,0.3%
AP,Industrial,1/2/2013,37.25,36.95,37.35,36.85,1.25M,0.8%
AP,Industrial,1/3/2013,37.85,37.45,38,37.25,1.42M,1.6%
AP,Industrial,1/4/2013,37.95,37.95,38,37.7,2.77M,0.3%
AP,Industrial,1/7/2013,38,37.9,38.05,37.9,2.42M,0.1%
AP,Industrial,1/8/2013,37.95,38,38.05,37.95,1.68M,-0.1%
AP,Industrial,1/9/2013,38.2,38,38.45,38,2.58M,0.7%
AP,Industrial,1/10/2013,37.85,38.2,38.2,37.75,1.68M,-0.9%
AP,Industrial,1/11/2013,38.05,37.85,38.1,37.5,2.00M,0.5%
AP,Industrial,1/14/2013,38.5,38.05,38.5,37.9,3.01M,1.2%
AP,Industrial,1/15/2013,38.05,38,38.2,37.8,2.58M,-1.2%
AP,Industrial,1/16/2013,38.35,38.5,38.5,37.75,4.36M,0.8%
AP,Industrial,1/17/2013,38.15,38.35,38.55,37.8,3.34M,-0.5%
AP,Industrial,1/18/2013,38.1,38,38.2,37.95,2.92M,-0.1%
AP,Industrial,1/21/2013,38.1,38.1,38.15,38,2.04M,0.0%
AP,Industrial,1/22/2013,38,38.1,38.1,37.8,2.73M,-0.3%
AP,Industrial,1/23/2013,38,37.75,38.1,37.4,2.79M,0.0%
AP,Industrial,1/24/2013,38.4,38,38.65,37.95,2.41M,1.1%
AP,Industrial,1/25/2013,37.9,38.4,38.4,37.55,7.87M,-1.3%
AP,Industrial,1/28/2013,38,37.65,38.2,37.65,2.55M,0.3%
AP,Industrial,1/29/2013,37.85,38.3,38.3,37.8,903.60K,-0.4%
AP,Industrial,1/30/2013,37.8,37.85,38.05,37.8,4.56M,-0.1%
AP,Industrial,1/31/2013,38.1,38,38.1,37.85,3.84M,0.8%
AP,Industrial,2/1/2013,38.4,38,38.4,37.95,3.42M,0.8%
AP,Industrial,2/4/2013,38.15,38.2,38.5,38,3.59M,-0.7%
AP,Industrial,2/5/2013,38.1,38.1,38.2,38,2.36M,-0.1%
AP,Industrial,2/6/2013,37.9,38.1,38.1,37.9,2.00M,-0.5%
AP,Industrial,2/7/2013,37.6,37.9,37.9,37.4,4.39M,-0.8%
AP,Industrial,2/8/2013,37.8,37.55,38.1,37.55,1.25M,0.5%
AP,Industrial,2/11/2013,37.9,37.8,38.1,37.65,808.50K,0.3%
AP,Industrial,2/12/2013,37.85,37.9,38,37.7,631.40K,-0.1%
AP,Industrial,2/13/2013,37.75,38,38.05,37.7,1.20M,-0.3%
AP,Industrial,2/14/2013,37.9,37.95,38,37.8,1.63M,0.4%
